Station ID,Station name,Variable,Position/depth (AGL) (m),Sensor Mfg,Sensor Model
CROM8,Crow Agency,SOILM4 [%],0.1,Acclima,TDR-310N
DOGM8,Dog Gun Lake E,SOILM4 [%],0.1,Acclima,TDR-310N
DOGM8,Dog Gun Lake E,SOILM4 [%],0.1,Acclima,TDR-310N
DRYM8,Dry Lake,SOILM4 [%],0.1,Acclima,TDR-310N
DRYM8,Dry Lake,SOILM4 [%],0.1,Acclima,TDR-310N
DYRM8,Dupuyer N,SOILM4 [%],0.1,Acclima,TDR-310N
FRGM8,Forestgrove N,SOILM4 [%],0.1,Acclima,TDR-310N
FOXM8,Fox Crossing SW,SOILM4 [%],0.1,Acclima,TDR-310N
FOXM8,Fox Crossing SW,SOILM4 [%],0.1,Acclima,TDR-310N
HWTM8,Harlowton E,SOILM4 [%],0.1,Acclima,TDR-310N
HAEM8,Havre,SOILM4 [%],0.1,Acclima,TDR-310N
HIWM8,Highwood Bench,SOILM4 [%],0.1,Acclima,TDR-310N
HIWM8,Highwood Bench,SOILM4 [%],0.1,Acclima,TDR-310N
HOGM8,Hogeland SW,SOILM4 [%],0.1,Acclima,TDR-310N
HOGM8,Hogeland SW,SOILM4 [%],0.1,Acclima,TDR-310N
HNTM8,Huntley E,SOILM4 [%],0.1,Acclima,TDR-310N
IGMM8,Ingomar,SOILM4 [%],0.1,Acclima,TDR-310N
INNM8,Inverness N,SOILM4 [%],0.1,Acclima,TDR-310N
INNM8,Inverness N,SOILM4 [%],0.1,Acclima,TDR-310N
ISSM8,Inverness S,SOILM4 [%],0.1,Acclima,TDR-310N
ISSM8,Inverness S,SOILM4 [%],0.1,Acclima,TDR-310N
JGPM8,Judith Gap,SOILM4 [%],0.1,Acclima,TDR-310N
JGPM8,Judith Gap,SOILM4 [%],0.1,Acclima,TDR-310N
LTBM8,Lake Thibadeau W,SOILM4 [%],0.1,Acclima,TDR-310N
LTBM8,Lake Thibadeau W,SOILM4 [%],0.1,Acclima,TDR-310N
